resource_name,service_type,physical_address,city,state,zip_code,eligibility_criteria,contact_phone,website_url,source_url,keywords
VA Greater Los Angeles Healthcare System,Primary Care,"11301 Wilshire Blvd",Los Angeles,CA,90073,Veterans with VA enrollment,(310) 478-3711,https://www.va.gov/greater-los-angeles-health-care/,https://www.va.gov/greater-los-angeles-health-care/,veteran primary care medical
VA Palo Alto Health Care System,Primary Care,"3801 Miranda Ave",Palo Alto,CA,94304,Veterans with VA enrollment,(650) 493-5000,https://www.va.gov/palo-alto-health-care/,https://www.va.gov/palo-alto-health-care/,veteran healthcare bay area
Veterans Crisis Line,Mental Health,"National Hotline",Nationwide,US,00000,All veterans and service members,988 (Press 1),https://www.veteranscrisisline.net/,https://www.veteranscrisisline.net/,suicide prevention crisis mental health veteran
Vet Center - Los Angeles,Mental Health,"1045 W Redondo Beach Blvd",Gardena,CA,90247,Combat veterans and families,(310) 767-1221,https://www.vetcenter.va.gov/,https://www.vetcenter.va.gov/,ptsd counseling veteran combat
VA Benefits Regional Office San Diego,VA Benefits,"8810 Rio San Diego Dr",San Diego,CA,92108,All veterans,(800) 827-1000,https://www.benefits.va.gov/sandiego/,https://www.benefits.va.gov/sandiego/,disability claims benefits veteran
Rural Health Clinic - Bakersfield,Primary Care,"2600 Chester Ave",Bakersfield,CA,93301,All patients - sliding scale available,(661) 327-8737,https://www.hrsa.gov/,https://www.hrsa.gov/rural-health,rural health clinic primary care
Community Health Center of Central Wyoming,Primary Care,"1522 E A Street",Casper,WY,82601,All patients - sliding scale,(307) 233-6000,https://www.chccw.org/,https://www.chccw.org/,rural health wyoming primary care
Disability Rights California,VA Benefits,"1831 K Street",Sacramento,CA,95811,People with disabilities,(800) 776-5746,https://www.disabilityrightsca.org/,https://www.disabilityrightsca.org/,disability rights advocacy legal
Cohen Veterans Network,Mental Health,"Multiple Locations",Nationwide,US,00000,Veterans and families - no cost,(833) 227-4747,https://www.cohenveteransnetwork.org/,https://www.cohenveteransnetwork.org/,mental health ptsd veteran free
VA Caregiver Support Program,VA Benefits,"National Program",Nationwide,US,00000,Caregivers of veterans,(855) 260-3274,https://www.caregiver.va.gov/,https://www.caregiver.va.gov/,caregiver support veteran family
Phoenix VA Health Care System,Primary Care,"650 E Indian School Rd",Phoenix,AZ,85012,Veterans with VA enrollment,(602) 277-5551,https://www.va.gov/phoenix-health-care/,https://www.va.gov/phoenix-health-care/,veteran healthcare arizona
VA Southern Nevada Healthcare,Primary Care,"6900 N Pecos Rd",North Las Vegas,NV,89086,Veterans with VA enrollment,(702) 791-9000,https://www.va.gov/southern-nevada-health-care/,https://www.va.gov/southern-nevada-health-care/,veteran healthcare las vegas nevada
National Alliance on Mental Illness (NAMI),Mental Health,"National Helpline",Nationwide,US,00000,Anyone affected by mental illness,(800) 950-6264,https://www.nami.org/,https://www.nami.org/,mental health support family
